,Course Title,Course Headline,Rating,Reviews,Course Length,Lectures,Level,Instructor
0,Pre-Programming: Everything you need to know before you code,Increase your chance of success learning to code and communicating with other developers,Rating: 4.7 out of 5,10514 reviews,6.5 total hours,87 lectures,Beginner,Evan Kimbrell
1,Learn Python Programming Masterclass,This Python For Beginners Course Teaches You The Python Language  Fast.  Includes Python Online Training With Python 3,Rating: 4.6 out of 5,96163 reviews,72.5 total hours,534 lectures,All Levels,"Tim Buchalka, Jean-Paul Roberts, Tim Buchalka's Learn Programming Academy"
2,Beginning C++ Programming - From Beginner to Beyond,Obtain Modern C++ Object-Oriented <strong>Programming</strong> (OOP) and STL skills. C++14 and C++17 covered.  C++20 info see below.,Rating: 4.6 out of 5,55535 reviews,46 total hours,305 lectures,All Levels,"Tim Buchalka's Learn Programming Academy, Dr. Frank Mitropoulos"
3,Java Programming Masterclass updated to Java 17,Learn Java In This Course And Become a Computer Programmer. Obtain valuable Core Java Skills And Java Certification,Rating: 4.5 out of 5,175214 reviews,101 total hours,529 lectures,All Levels,"Tim Buchalka, Tim Buchalka's Learn Programming Academy"
4,Automate the Boring Stuff with Python Programming,"A practical <strong>programming</strong> course for office workers, academics, and administrators who want to improve their productivity.",Rating: 4.7 out of 5,104716 reviews,9.5 total hours,51 lectures,All Levels,Al Sweigart
5,Learn JAVA Programming - Beginner to Master,Deep Dive in Core Java <strong>programming</strong> -Standard Edition. A Practical approach to learn Java. Become a Java Expert,Rating: 4.6 out of 5,9209 reviews,61.5 total hours,333 lectures,All Levels,Abdul Bari
6,C Programming 360° Bootcamp: Zero to Hero,,Rating: 4.8 out of 5,42 reviews,13.5 total hours,118 lectures,All Levels,Electrovert Labs
7,C Programming Language Hands-On-Lab Challenge,,Rating: 0.0 out of 5,0 reviews,22.5 total hours,140 lectures,All Levels,Atish Jain
8,Programming Practices for Software Engineers,,Rating: 0.0 out of 5,0 reviews,7 total hours,84 lectures,All Levels,RougeNeuron Academy
9,8086 Microprocessor - Architecture & Programming,,Rating: 5.0 out of 5,2 reviews,19 total hours,40 lectures,Intermediate,Dr. Yogesh Misra
10,The Guide to Computer Programming in Java,,Rating: 4.9 out of 5,4 reviews,7 total hours,48 lectures,All Levels,Alexandru Dincă
11,Programming with Python - part1,,Rating: 0.0 out of 5,0 reviews,4.5 total hours,17 lectures,Beginner,Alison A
12,Go Programming Bootcamp,,Rating: 4.8 out of 5,80 reviews,15.5 total hours,81 lectures,All Levels,Derek Banas
13,C# Tutorial: Full Course For Beginners - Fundamentals of C#,,Rating: 0.0 out of 5,0 reviews,26.5 total hours,16 lectures,Beginner,Furkan Gözükara
14,Complete Python Programming Masterclass Beginner to Advanced,Learn to Program like a Pro with Python. Start with Python <strong>Programming</strong> Basics and progress to a Python Professional.,Rating: 4.5 out of 5,7594 reviews,7 total hours,109 lectures,All Levels,"Kyle Pew, Office Newb"
15,Programming for Kids and Beginners: Learn to Code in Scratch,"Learn to program, create games, have fun in Scratch! For parents and teachers of future coders",Rating: 4.6 out of 5,9463 reviews,7.5 total hours,38 lectures,Beginner,Daniel Ciocîrlan
16,Java Programming for Complete Beginners,Java <strong>Programming</strong> for Beginners to Java Object Oriented <strong>Programming</strong>. Core Java + REST API with Spring Boot. Java 8 to 16.,Rating: 4.5 out of 5,31083 reviews,33.5 total hours,398 lectures,Beginner,in28Minutes Official
17,"Complete Codecamp On C, C++, C#, Java & Python Programming!","Obtain core <strong>programming</strong> skills & certification! Master practical C, C++, C#, Java & Python from scratch for beginners",Rating: 4.3 out of 5,161 reviews,82.5 total hours,695 lectures,Beginner,"Emenwa Global, Zoolord Academy"
18,Computer Science 101: Master the Theory Behind Programming,Computer Science 101: Learn Computer Science to become a better Programmer and Software Engineer.,Rating: 4.4 out of 5,4742 reviews,11 total hours,94 lectures,Beginner,Kurt Anderson
19,Master Python programming by solving scientific projects,Learn practical coding in Python from a warm-blooded scientist. Each video includes hands-on solved practice problems!,Rating: 4.8 out of 5,894 reviews,37 total hours,171 lectures,Beginner,Mike X Cohen
20,Learn C++ Programming -Beginner to Advance- Deep Dive in C++,"Classroom and Hands-on sessions- Features of C++ 11 , Exception Handling and STL -  for Both Academics and Industry",Rating: 4.6 out of 5,19779 reviews,30.5 total hours,279 lectures,All Levels,Abdul Bari
21,Introduction to Computer Programming for Beginners 2023,"Learn the basic principles of Computer <strong>Programming</strong> and get started with C#, SQL, Java, C, C++ and Python",Rating: 4.5 out of 5,145 reviews,8 total hours,88 lectures,Beginner,Artemakis Artemiou
22,Complete C# Masterclass,"Learn C# <strong>Programming</strong> - WPF, Databases, Linq, Collections, Game Development with Unity. More than just the C# basics!",Rating: 4.5 out of 5,23456 reviews,37 total hours,287 lectures,All Levels,"Denis Panjuta, Tutorials.eu by Denis Panjuta"
23,C Programming Bootcamp - The Complete C Language Course,C <strong>Programming</strong> 2022: Master the Fundamentals of C <strong>Programming</strong> Language. Join the Comprehensive C Bootcamp Masterclass!,Rating: 4.5 out of 5,5159 reviews,44.5 total hours,395 lectures,All Levels,Vlad Budnitski
24,Python Programming: The Complete Python Bootcamp 2023,"Python from Scratch. Learn Data Science and Visualization, Automation, Excel, SQL and Scraping with Python.100% Hands-On",Rating: 4.6 out of 5,1493 reviews,25.5 total hours,325 lectures,All Levels,"Andrei Dumitrescu, Crystal Mind Academy"
25,C Programming For Beginners - Master the C Language,C <strong>Programming</strong> will increase career options.  Become a better dev in other languages by learning C.   Pointers explained,Rating: 4.3 out of 5,28689 reviews,24 total hours,137 lectures,All Levels,"Tim Buchalka's Learn Programming Academy, Jason Fedin"
26,C++ Fundamentals: Game Programming For Beginners,Learn to make games using industry standard C++ and Raylib,Rating: 4.7 out of 5,1215 reviews,11 total hours,86 lectures,Beginner,"GameDev.tv Team, Stephen Ulibarri"
27,"Competitive Programming Essentials,  Master Algorithms 2022","Master competitive coding techniques - maths, number theory, dynamic <strong>programming</strong>, advanced data structures & algorithms",Rating: 4.4 out of 5,1463 reviews,56.5 total hours,344 lectures,All Levels,"Prateek Narang, Apaar Kamal, Coding Minutes"
