,Course Title,Course Headline,Rating,Reviews,Course Length,Lectures,Level,Instructor
0,Pre-Programming: Everything you need to know before you code,Increase your chance of success learning to code and communicating with other developers,Rating: 4.6 out of 5,10634 reviews,6.5 total hours,87 lectures,Beginner,Evan Kimbrell
1,Learn Python Programming Masterclass,This Python For Beginners Course Teaches You The Python Language  Fast.  Includes Python Online Training With Python 3,Rating: 4.6 out of 5,96573 reviews,73 total hours,542 lectures,All Levels,"Tim Buchalka, Jean-Paul Roberts, Tim Buchalka's Learn Programming Academy"
2,Beginning C++ Programming - From Beginner to Beyond,Obtain Modern C++ Object-Oriented <strong>Programming</strong> (OOP) and STL skills. C++14 and C++17 covered.  C++20 info see below.,Rating: 4.6 out of 5,56157 reviews,46 total hours,305 lectures,All Levels,"Tim Buchalka's Learn Programming Academy, Dr. Frank Mitropoulos"
3,Java Programming Masterclass updated to Java 17,Learn Java In This Course And Become a Computer Programmer. Obtain valuable Core Java Skills And Java Certification,Rating: 4.5 out of 5,176243 reviews,101 total hours,529 lectures,All Levels,"Tim Buchalka, Tim Buchalka's Learn Programming Academy"
4,Automate the Boring Stuff with Python Programming,"A practical <strong>programming</strong> course for office workers, academics, and administrators who want to improve their productivity.",Rating: 4.7 out of 5,105085 reviews,9.5 total hours,51 lectures,All Levels,Al Sweigart
5,Complete Python Programming Masterclass Beginner to Advanced,Learn to Program like a Pro with Python. Start with Python <strong>Programming</strong> Basics and progress to a Python Professional.,Rating: 4.6 out of 5,7658 reviews,7 total hours,109 lectures,All Levels,"Kyle Pew, Office Newb"
6,Dynamic Programming Algorithms,,Rating: 0.0 out of 5,0 reviews,11.5 total hours,32 lectures,All Levels,Md. A. Barik
7,Embedded C Programming Course from Zero to Hero,,Rating: 0.0 out of 5,0 reviews,14 total hours,64 lectures,All Levels,SM training academy
8,Programming Practices for Software Engineers : Clean code,,Rating: 0.0 out of 5,0 reviews,7 total hours,84 lectures,Intermediate,RougeNeuron Academy
9,Learn FIVE (5) Computer Programming Languages in ONE COURSE,,Rating: 4.7 out of 5,2 reviews,6 total hours,67 lectures,All Levels,"Faisal Zamir, Jafri Code"
10,C Programming Language Hands-On-Lab Challenge,,Rating: 0.0 out of 5,0 reviews,22.5 total hours,140 lectures,All Levels,Atish Jain
11,Master Python Programming A to Z,,Rating: 5.0 out of 5,2 reviews,3 total hours,28 lectures,All Levels,Aakash Singh
12,Programming with Python - part 2,,Rating: 0.0 out of 5,0 reviews,6.5 total hours,17 lectures,Beginner,Alison A
13,8086 Microprocessor - Architecture & Programming,,Rating: 5.0 out of 5,2 reviews,19 total hours,40 lectures,Intermediate,Dr. Yogesh Misra
14,Learn JAVA Programming - Beginner to Master,Deep Dive in Core Java <strong>programming</strong> -Standard Edition. A Practical approach to learn Java. Become a Java Expert,Rating: 4.5 out of 5,9520 reviews,61.5 total hours,333 lectures,All Levels,Abdul Bari
15,Java Programming for Complete Beginners,Java <strong>Programming</strong> for Beginners to Java Object Oriented <strong>Programming</strong>. Core Java + REST API with Spring Boot. Java 8 to 16.,Rating: 4.5 out of 5,31680 reviews,33.5 total hours,398 lectures,Beginner,in28Minutes Official
16,"Complete Codecamp On C, C++, C#, Java & Python Programming!","Obtain core <strong>programming</strong> skills & certification! Master practical C, C++, C#, Java & Python from scratch for beginners",Rating: 4.2 out of 5,165 reviews,82.5 total hours,695 lectures,Beginner,"Emenwa Global, Zoolord Academy"
17,Programming for Kids and Beginners: Learn to Code in Scratch,"Learn to program, create games, have fun in Scratch! For parents and teachers of future coders",Rating: 4.7 out of 5,9553 reviews,7.5 total hours,38 lectures,Beginner,Daniel Ciocîrlan
18,Learn C++ Programming -Beginner to Advance- Deep Dive in C++,"Classroom and Hands-on sessions- Features of C++ 11 , Exception Handling and STL -  for Both Academics and Industry",Rating: 4.6 out of 5,20050 reviews,30.5 total hours,279 lectures,All Levels,Abdul Bari
19,Computer Science 101: Master the Theory Behind Programming,Computer Science 101: Learn Computer Science to become a better Programmer and Software Engineer.,Rating: 4.5 out of 5,4780 reviews,11 total hours,94 lectures,Beginner,Kurt Anderson
20,Master Python programming by solving scientific projects,Learn practical coding in Python from a warm-blooded scientist. Each video includes hands-on solved practice problems!,Rating: 4.8 out of 5,917 reviews,37 total hours,171 lectures,Beginner,Mike X Cohen
21,Introduction to Computer Programming for Beginners 2023,"Learn the basic principles of Computer <strong>Programming</strong> and get started with C#, SQL, Java, C, C++ and Python",Rating: 4.3 out of 5,151 reviews,8 total hours,88 lectures,Beginner,Artemakis Artemiou
22,Python Programming: The Complete Python Bootcamp 2023,"Python from Scratch. Learn Data Science and Visualization, Automation, Excel, SQL and Scraping with Python.100% Hands-On",Rating: 4.7 out of 5,1517 reviews,25.5 total hours,362 lectures,All Levels,"Andrei Dumitrescu, Crystal Mind Academy"
23,C++ Fundamentals: Game Programming For Beginners,Learn to make games using industry standard C++ and Raylib,Rating: 4.8 out of 5,1239 reviews,11 total hours,86 lectures,Beginner,"GameDev.tv Team, Stephen Ulibarri"
24,Complete C# Masterclass,"Learn C# <strong>Programming</strong> - WPF, Databases, Linq, Collections, Game Development with Unity. More than just the C# basics!",Rating: 4.5 out of 5,23737 reviews,37 total hours,287 lectures,All Levels,"Denis Panjuta, Tutorials.eu by Denis Panjuta"
25,C Programming For Beginners - Master the C Language,C <strong>Programming</strong> will increase career options.  Become a better dev in other languages by learning C.   Pointers explained,Rating: 4.3 out of 5,28905 reviews,23.5 total hours,133 lectures,All Levels,"Tim Buchalka's Learn Programming Academy, Jason Fedin"
26,C Programming Bootcamp - The Complete C Language Course,C <strong>Programming</strong> 2022: Master the Fundamentals of C <strong>Programming</strong> Language. Join the Comprehensive C Bootcamp Masterclass!,Rating: 4.4 out of 5,5260 reviews,44.5 total hours,395 lectures,All Levels,Vlad Budnitski
27,"Competitive Programming Essentials,  Master Algorithms 2022","Master competitive coding techniques - maths, number theory, dynamic <strong>programming</strong>, advanced data structures & algorithms",Rating: 4.4 out of 5,1499 reviews,56.5 total hours,344 lectures,All Levels,"Prateek Narang, Apaar Kamal, Coding Minutes"
28,Learn C++ for Game Development,Learn the basics of C++ to prepare you for game development <strong>programming</strong>!,Rating: 4.7 out of 5,3245 reviews,12.5 total hours,70 lectures,All Levels,Stephen Ulibarri
